City,Month,MaxTemp,MiinTemp,MeanTemp,Precipitation,PrecipCover,FloodRisk,Year
Yaba,1,29,23,26.2,14,4.17,1,2017
Yaba,2,32.1,24.9,27.6,0.2,4.17,0,2017
Yaba,3,34,25,28.8,4.4,29.17,1,2017
Yaba,4,32,24,28.3,3,12.5,0,2017
Yaba,5,32.2,21.6,27.3,57,8.33,1,2017
Yaba,6,33,25,28.8,1.1,37.5,0,2017
Yaba,7,32,22,27.1,16,4.17,1,2017
Yaba,8,32,26,28.6,1.4,4.17,0,2017
Yaba,9,29.9,24,25.7,54,4.17,1,2017
Yaba,10,34,23.9,28,0.1,4.17,0,2017
Yaba,11,34,25,29,0.6,8.33,0,2017
Yaba,12,33,26,29.4,0.9,8.33,0,2017
Ebutemetta,1,30,25.1,27.2,2,4.17,0,2017
Ebutemetta,2,32,23.1,27.5,0.1,4.17,0,2017
Ebutemetta,3,32,25,28.2,0.3,4.17,0,2017
Ebutemetta,4,30,24,26.8,11,8.33,1,2017
Ebutemetta,5,28,21,25.4,63,4.17,1,2017
Ebutemetta,6,30.1,23,26.2,7,4.17,0,2017
Ebutemetta,7,30,24.8,26.5,5,4.17,0,2017
Ebutemetta,8,32,24.1,27.3,0.7,12.5,0,2017
Ebutemetta,9,32,25.4,27.9,2,4.17,0,2017
Ebutemetta,10,31.4,27,28.6,1.3,37.5,1,2017
Ebutemetta,11,30.9,26,27.5,5,4.17,0,2017
Ebutemetta,12,28.2,23,26.4,49,4.17,1,2017
Ikoyi,1,28,25.8,26.9,5.7,54.17,1,2017
Ikoyi,2,30,24,26.5,0.5,4.17,0,2017
Ikoyi,3,30,22,26.9,12.5,4.17,0,2017
Ikoyi,4,29,22,25.5,0.8,16.67,0,2017
Ikoyi,5,29.2,24.1,27,0.1,4.17,0,2017
Ikoyi,6,29,24,26.1,20,8.33,1,2017
Ikoyi,7,30,24.9,27.3,2.2,41.67,1,2017
Ikoyi,8,29,24,27,5.8,8.33,0,2017
Ikoyi,9,28.1,25.1,26.6,0.3,8.33,1,2017
Ikoyi,10,27.8,24,25.6,10,8.33,1,2017
Ikoyi,11,25.7,23,24.2,66,12.5,1,2017
Ikoyi,12,27.9,23.8,25.4,0.9,4.17,0,2017
Isolo,1,26.1,24,24.7,18.1,8.33,0,2017
Isolo,2,27,23,25.1,15,8.33,0,2017
Isolo,3,30,23.9,26.6,0.1,4.17,0,2017
Isolo,4,27.3,24.2,25.7,2.1,45.83,1,2017
Isolo,5,29.6,24.8,25.6,2,45.83,1,2017
